condition,position,frame,flow_u,flow_v,magnitude
RIF10,204,38,0.6525223,0.56219107,0.26470307
RIF10,204,40,-0.41380307,0.0042489697,0.22486007
RIF10,204,42,-0.45750213,0.11110931,0.2159038
RIF10,204,44,-0.28515738,0.16167016,0.19063851
RIF10,204,46,-0.3822628,0.024560021,0.21206042
RIF10,204,48,-0.15220247,0.1263731,0.18112859
RIF10,204,50,4.489482,-1.656211,0.45561758
RIF10,204,52,-0.039845347,0.07885003,0.16691883
RIF10,204,54,-0.14951232,-0.091051266,0.17833419
RIF10,204,56,-0.0265683,-0.10943317,0.19531707
RIF10,204,58,-0.42328003,0.1952538,0.21163528
RIF10,204,60,-0.17150669,0.06635891,0.18474779
RIF10,204,62,0.12099105,-0.6995605,0.27686003
RIF10,204,64,0.074323714,0.20976794,0.21346387
RIF10,204,66,-0.15033455,0.08253419,0.15496859
RIF10,204,68,-1.0889846,-0.2383826,0.354865
RIF10,204,70,0.22736464,-1.1311065,0.59305185
RIF10,204,72,-0.8559443,-0.41467306,0.27887222
RIF10,204,74,-1.0189453,-1.3441639,0.2663193
RIF10,204,76,0.66186553,-0.7254031,0.53492796
RIF10,204,78,0.18236078,0.5795274,0.23797144
RIF10,204,80,-0.026750535,-0.056684125,0.23305333
RIF10,204,82,-0.11918002,0.08693671,0.14791693
RIF10,204,84,-0.6867728,0.039584998,0.2621092
RIF10,204,86,-0.06439466,0.6552478,0.7953819
RIF10,204,88,0.29999,1.7708696,1.0291824
RIF10,204,90,-0.23488927,0.07324536,0.14602661
RIF10,204,92,-0.1137137,0.32386202,0.18244524
RIF10,204,94,-1.4113575,-0.7260212,0.5057362
RIF10,204,96,0.48910177,-0.48158902,0.3488457
RIF10,204,98,-0.94895005,-0.060687646,0.36356202
RIF10,204,100,-0.17478666,-0.023847248,0.17292075
RIF10,204,102,-0.3342032,0.0109223025,0.18263343
RIF10,204,104,0.10143147,0.08233936,0.17188707
RIF10,204,106,0.024553822,0.20930205,0.16355103
RIF10,204,108,0.120481715,-0.16082011,0.17893952
RIF10,205,0,0.157296,2.4070833,0.88981736
RIF10,205,2,0.3619065,-2.592712,0.9994339
RIF10,205,4,-4.4787297,-7.2943473,1.5556414
RIF10,205,6,-1.7617645,0.88809747,0.89573705
RIF10,205,8,-0.44463518,1.7277713,1.0760033
RIF10,205,10,-3.5222344,-1.7386332,1.0222794
RIF10,205,12,-0.9383708,-0.50394404,0.97937614
RIF10,205,14,-0.60316545,-0.015947744,0.7297415
RIF10,205,16,-0.050373077,1.1170522,0.73352253
RIF10,205,18,-0.9590918,-0.4577929,0.7293835
RIF10,205,20,0.8590183,0.12931746,1.783496
RIF10,205,22,2.2356424,3.88412,1.7082791
RIF10,205,24,-0.0990932,-0.132186,0.5122524
RIF10,205,26,-0.63335264,0.089435324,0.49164188
RIF10,205,28,-0.37263831,0.102217525,0.74802613
RIF10,205,30,2.874829,-2.5345066,5.923422
RIF10,205,32,-2.5737214,2.1093795,2.3659513
RIF10,205,34,-0.7211458,0.97737175,0.89149004
RIF10,205,36,-0.34310824,1.306268,0.7471994
RIF10,205,38,-0.6327334,0.32024503,0.5692895
RIF10,205,40,-1.0740914,-1.6706994,1.1626449
RIF10,205,42,-0.77294505,-0.30472505,0.5929856
RIF10,205,44,-0.6842789,-0.34262207,0.63927114
RIF10,205,46,-0.62608445,0.38964698,0.56371295
RIF10,205,48,-0.6884198,0.22980691,0.56652343
RIF10,205,50,-0.56806135,0.019168014,0.42630705
RIF10,205,52,2.047339,-1.2996331,1.0730215
RIF10,205,54,1.2717118,-0.41899258,2.7564468
RIF10,205,56,0.052610785,0.22507943,0.58109206
RIF10,205,58,-0.11700361,-0.08839213,0.41960508
RIF10,205,60,-0.40773427,-0.0802436,0.5114412
RIF10,205,62,0.17686284,0.6371147,0.65615606
RIF10,205,64,-0.33368936,0.4029445,0.5332446
RIF10,205,66,0.26066864,-0.28817093,1.3082635
RIF10,205,68,-0.24406573,-0.78372294,1.0048093
RIF10,205,70,1.73257,-2.9798281,1.0626915
RIF10,205,72,-0.33597657,-0.01941743,0.32249692
RIF10,205,74,0.35969687,0.26064524,0.4401437
RIF10,205,76,0.96889704,0.23813137,0.5893527
RIF10,205,78,0.91096234,-0.51127326,0.657214
RIF10,205,80,1.8781325,-1.6459312,1.8537793
RIF10,205,82,0.1308641,-0.40340894,0.547112
RIF10,205,84,-0.9969625,1.2480592,1.1264061
RIF10,205,86,0.3260942,0.1271919,0.5593591
RIF10,205,88,2.405296,-0.6855045,1.4827807
RIF10,205,90,5.017369,0.3267189,1.241458
RIF10,205,92,-3.748287,-3.284458,2.9945335
RIF10,205,94,1.231655,-1.0561738,1.4824657
RIF10,205,96,0.62297827,-0.031119557,0.45553076
RIF10,205,98,-0.31588155,1.8563411,1.2010725
RIF10,205,100,0.036527496,0.058175746,0.45914188
RIF10,205,102,0.19707723,0.23578069,0.6368036
RIF10,205,104,0.19119579,-0.24851586,0.6508578
RIF10,205,106,-0.29554996,0.7233207,0.38325188
RIF10,205,108,0.08413929,-0.043085873,0.19214226
RIF10,206,0,-0.5610491,-0.23158605,0.23797856
RIF10,206,2,-0.1979316,-0.5722407,0.16262183
RIF10,206,4,-0.6385837,-0.8825322,0.47489443
RIF10,206,6,-0.0721967,-0.04608081,0.15048184
RIF10,206,8,-0.15110049,0.554328,0.36785668
RIF10,206,10,-0.0722019,0.044012193,0.18922688
RIF10,206,12,0.36587438,-0.86168253,0.22848044
RIF10,206,14,0.009479048,-0.07028916,0.21134666
RIF10,206,16,-0.05203956,0.048055675,0.18842815
RIF10,206,18,-0.26087144,-0.05989906,0.13723432
RIF10,206,20,0.022011219,0.42487824,0.25200662
RIF10,206,22,-0.43561813,-0.30846745,0.27506503
RIF10,206,24,-0.4136936,-0.5115969,0.4463589
RIF10,206,26,-0.21946056,-0.11352545,0.17167844
RIF10,206,28,0.73017126,0.7743277,0.7033014
RIF10,206,30,0.21487981,2.9012911,3.6877978
RIF10,206,32,-1.6520028,-1.3329154,0.8850591
RIF10,206,34,0.22874779,-0.34603432,0.65537673
RIF10,206,36,-0.92572045,-5.929521,0.6941703
RIF10,206,38,-2.2264826,-6.526664,0.7555968
RIF10,206,40,-0.12688081,-0.050866764,0.20740521
RIF10,206,42,-0.30565062,-0.01724729,0.17313641
RIF10,206,44,-0.15716757,-0.024517925,0.1514972
RIF10,206,46,-0.18735817,0.07720321,0.16347276
RIF10,206,48,-0.19405276,0.038312458,0.19653064
RIF10,206,50,0.0013588893,0.0666441,0.15175934
RIF10,206,52,-0.16155408,0.07795961,0.1617838
RIF10,206,54,-0.19484113,-0.123122774,0.1682081
RIF10,206,56,-0.19342285,-0.06999764,0.16624747
RIF10,206,58,0.53236616,0.39392093,0.24303557
RIF10,206,60,-0.18241513,0.06341749,0.16075023
RIF10,206,62,-0.2669965,-0.038671225,0.20138106
RIF10,206,64,-0.4149324,0.1556833,0.18452953
RIF10,206,66,0.042102598,-0.09158446,0.19746727
RIF10,206,68,-0.08267464,-0.061163027,0.12366118
RIF10,206,70,0.12854052,-0.09725942,0.17298096
RIF10,206,72,-2.2798083,-0.15263332,0.6036154
RIF10,206,74,0.03392637,-0.055907868,0.14500377
RIF10,206,76,-0.36823648,0.4416805,0.25129113
RIF10,206,78,-0.03403174,0.32131582,0.23213835
RIF10,206,80,-0.20452082,-0.106013365,0.25144356
