condition,position,frame,flow_u,flow_v,magnitude
REF,108,94,1.407419,2.4441826,1.0127796
REF,108,96,-0.07991632,0.35389727,0.58354664
REF,108,98,-1.0679336,-0.03450086,0.7004476
REF,108,100,-0.45856944,0.2620045,0.6002032
REF,108,102,4.270129,-1.4629178,1.7553003
REF,108,104,-0.11415427,0.03204691,0.7109581
REF,108,106,4.7034802,-5.6902294,1.6176096
REF,108,108,-1.3639052,-0.42299992,1.0388336
REF,109,0,1.514331,4.693591,2.2402515
REF,109,2,-2.174406,-0.75015604,0.84870625
REF,109,4,-3.1556349,-1.4753132,1.1090943
REF,109,6,-0.017519731,0.509898,0.60974616
REF,109,8,-0.50562364,-1.0912987,0.98112535
REF,109,10,-0.27460822,-0.49245661,0.7749692
REF,109,12,-0.92010546,-0.696003,0.9116407
REF,109,14,-2.6856213,-4.2726502,2.347509
REF,109,16,1.5780407,-1.9796841,2.2368896
REF,109,18,-1.2231559,0.2997304,1.0731893
REF,109,20,-2.5844727,0.5649723,1.1086464
REF,109,22,-1.8732723,0.852563,0.838553
REF,109,24,-0.020366756,2.7228668,1.584922
REF,109,26,-0.50705314,-1.9893126,1.4316372
REF,109,28,-0.7097455,-0.8369025,0.6423197
REF,109,30,-0.9602158,-0.38378403,1.0355775
REF,109,32,-2.1880584,-1.6555831,1.5188179
REF,109,34,-0.58308935,-0.77496153,0.7728546
REF,109,36,-1.31858,-5.257369,2.5978816
REF,109,38,0.84077156,-2.174953,1.3111769
REF,109,40,-0.7699,-0.26207063,0.90254176
REF,109,42,-0.6414046,0.21537615,0.6606973
REF,109,44,-0.7812733,-0.0019507845,0.69392115
REF,109,46,-0.55202645,-0.42073387,0.80302125
REF,109,48,-0.09587419,-2.1696296,3.1138663
REF,109,50,-0.968406,-0.60867876,1.0734879
REF,109,52,-0.10544061,0.8535451,1.2758493
REF,109,54,-1.3072838,-0.40649593,0.9911127
REF,109,56,1.6290189,-0.16100807,2.201273
REF,109,58,-0.36690226,-1.6020682,1.4423184
REF,109,60,-1.8335346,1.0828778,1.7551223
REF,109,62,0.36151204,-2.5100727,2.131695
REF,109,64,-1.1703779,0.5562332,1.6703537
REF,109,66,-3.9136815,-5.2859864,2.6685152
REF,109,68,-1.705726,-1.2469536,2.4113138
REF,109,70,-1.5411507,-1.6548837,1.967978
REF,109,72,0.9498267,-2.7185762,4.0276723
REF,109,74,-2.0029771,-1.2774633,1.9869801
REF,109,76,-0.012926924,-1.9510945,1.7082311
REF,109,78,-0.6038517,-0.82366145,1.2761441
REF,109,80,-1.6227208,-0.7610382,1.5045727
REF,109,82,-0.43889484,-1.2652332,1.4699728
